Date,"Close Price"
"2015-08-31 06:25:00",1.25
"2015-09-07 06:25:00",1.28
"2015-09-14 06:25:00",0.94
"2015-09-21 06:25:00",0.95
"2015-09-28 06:25:00",0.69
"2015-10-05 06:25:00",0.68
"2015-10-12 06:25:00",0.64
"2015-10-19 06:25:00",0.53
"2015-10-26 06:25:00",0.61
"2015-11-02 06:25:00",1.07
"2015-11-09 06:25:00",1.07
"2015-11-16 06:25:00",0.93
"2015-11-23 06:25:00",0.99
"2015-11-30 06:25:00",0.86
"2015-12-07 06:25:00",0.82
"2015-12-14 06:25:00",0.98
"2015-12-21 06:25:00",0.91
"2015-12-28 06:25:00",0.86
"2016-01-04 06:25:00",0.96
"2016-01-11 06:25:00",1.06
"2016-01-18 06:25:00",1.36
"2016-01-25 06:25:00",2.1
"2016-02-01 06:25:00",2.16
"2016-02-08 06:25:00",2.97
"2016-02-15 06:25:00",5.66
"2016-02-22 06:25:00",5.26
"2016-02-29 06:25:00",6.54
"2016-03-07 06:25:00",10.96
"2016-03-14 06:25:00",13.68
"2016-03-21 06:25:00",10.58
"2016-03-28 06:25:00",11.22
"2016-04-04 06:25:00",11.59
"2016-04-11 06:25:00",8.61
"2016-04-18 06:25:00",9.16
"2016-04-25 06:25:00",8.13
"2016-05-02 06:25:00",9.08
"2016-05-09 06:25:00",9.67
"2016-05-16 06:25:00",10.25
"2016-05-23 06:25:00",14.12
"2016-05-30 06:25:00",12.5
"2016-06-06 06:25:00",13.8
"2016-06-13 06:25:00",16
"2016-06-20 06:25:00",11.1
"2016-06-27 06:25:00",14
"2016-07-04 06:25:00",11.81
"2016-07-11 06:25:00",10.7
"2016-07-18 06:25:00",11.65
"2016-07-25 06:25:00",13.35
"2016-08-01 06:25:00",11.69
"2016-08-08 06:25:00",11.09
"2016-08-15 06:25:00",11.26
"2016-08-22 06:25:00",11.27
"2016-08-29 06:25:00",11.02
"2016-09-05 06:25:00",11.82
"2016-09-12 06:25:00",11.77
"2016-09-19 06:25:00",12.92
"2016-09-26 06:25:00",12.87
"2016-10-03 06:25:00",13.19
"2016-10-10 06:25:00",11.91
"2016-10-17 06:25:00",11.75
"2016-10-24 06:25:00",11.75
"2016-10-31 06:25:00",11.3
"2016-11-07 06:25:00",10.91
"2016-11-14 06:25:00",10.13
"2016-11-21 06:25:00",9.59
"2016-11-28 06:25:00",8.81
"2016-12-05 06:25:00",7.48
"2016-12-12 06:25:00",8.2
"2016-12-19 06:25:00",7.78
"2016-12-26 06:25:00",7.25
"2017-01-02 06:25:00",8.16
"2017-01-09 06:25:00",10.39
"2017-01-16 06:25:00",9.62
"2017-01-23 06:25:00",10.71
"2017-01-30 06:25:00",10.41
"2017-02-06 06:25:00",11.24
"2017-02-13 06:25:00",11.32
"2017-02-20 06:25:00",12.78
"2017-02-27 06:25:00",14.65
"2017-03-06 06:25:00",19.18
"2017-03-13 06:25:00",25.09
"2017-03-20 06:25:00",42.62
"2017-03-27 06:25:00",51.37
"2017-04-03 06:25:00",45.5
"2017-04-10 06:25:00",43.65
"2017-04-17 06:25:00",49.15
"2017-04-24 06:25:00",53.78
"2017-05-01 06:25:00",85.42
"2017-05-08 06:25:00",91.38
"2017-05-13 11:45:00",89.69
"2017-05-16 23:45:00",88.74
"2017-05-20 11:45:00",122.53
"2017-05-23 23:45:00",166.8
"2017-05-27 11:59:23",146.8
"2017-05-30 23:59:23",231.91

"This data was produced from the CoinDesk price page."
http://www.coindesk.com/price/
